"","1500","1600","1700","1800"
"United Kingdom",5,6,6,6
"Italy",16,20,18,19
"Germany",13,17,21,22
"France",16,20,20,22
"Iberia",12,15,16,13
"Scandinavia",2,2,4,4
"Poland",1,2,2,3
"Russia",0,0,0,2
"Belgium",1,1,1,1
"Netherlands",0,1,4,4
