"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"35","Lauer, Josef",1818," Austria-Hungary ","https://www.wikidata.org/wiki/Special:EntityPage/Q20752987"," painter ",NA,NA,NA,3421,9,1,NA,NA,NA,0.303269417516531
"36","Leybold, Karl",1786,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1411822"," painter ",NA,NA,NA,2684,15,1,NA,NA,NA,0.30365599131655
"37","Litfas, H.",1815,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q29905030"," drawer ",NA,NA,NA,12186,6,1,NA,NA,NA,0.777012012209467
"38","Loder, Matth%C3%A4us",1781," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q1387130"," painter ",NA,NA,NA,4326,20,1,NA,NA,NA,0.431326238119443
"39","Loos, Friedrich",1797," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q1460806"," painter ",NA,NA,NA,12844,26,4,NA,NA,NA,1.09568742890042
"40","Marastoni, Josef",1834," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q112782"," painter ",NA,NA,NA,1418,13,4,NA,NA,NA,0.359783098725506
"41","Martini, Karl",1796,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q64027186"," animalier ",NA,NA,NA,5006,8,1,NA,NA,NA,0.385736191813422
"42","Maul, Friedrich",1780,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q19279998"," painter ",NA,NA,NA,2891,11,1,NA,NA,NA,0.287349234897308
"43"," Menzel ,  Adolph ",1815,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q164961"," painter ",NA,NA,NA,50924,564,33,9353,88,33,10.5477325475756
"44","Most, Ludwig",1807,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1874808"," painter ",NA,NA,NA,5911,20,2,NA,NA,NA,0.567984425233612
"45","Neder, Johann",1807," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q1695575"," painter ",NA,NA,NA,5721,10,1,NA,NA,NA,0.440089357920836
"46","Neher, Michael",1798,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q882407"," painter ",1566,8,5,3629,20,5,NA,NA,NA,0.894298850123361
"47","Raffalt, Ignaz",1800," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q1657504"," painter ",NA,NA,NA,6295,10,1,NA,NA,NA,0.472488476128941
"48","Ranftl, Johann",1804," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q1695465"," painter ",NA,NA,NA,6567,31,2,NA,NA,NA,0.681986576091196
"49"," Reinhard ,  Sophie ",1775,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q15437835"," painter ",NA,NA,NA,3403,12,2,NA,NA,NA,0.370440209600562
"50","Reiter, Johann",1813," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q1692583"," painter ",NA,NA,NA,14152,15,4,NA,NA,NA,1.09254219121482
"51"," Resch ,  Ernst ",1807,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q14634262"," painter ",NA,NA,NA,1871,14,2,NA,NA,NA,0.297962681259177
"52"," Richter ,  Adrian ",1803,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q551896"," painter ",4243,83,16,13024,384,16,6553,36,16,6.40549106266683
"53","Ritter, Eduard",1808," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q1289686"," painter ",NA,NA,NA,3140,14,1,NA,NA,NA,0.322396973876593
"54","(Maler), Karl",1779," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q1583777"," painter ",NA,NA,NA,2786,30,1,NA,NA,NA,0.41437867208081
"55","Schoen, Friedrich",1810,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1463206"," lithographer ",NA,NA,NA,10732,21,1,NA,NA,NA,0.799907118179632
"56","Schroeter, Constantin",1795,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1127925"," painter ",NA,NA,NA,3207,13,1,NA,NA,NA,0.319181062738113
"57","Seelos, Gottfried",1829," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q1539458"," painter ",NA,NA,NA,4229,16,1,NA,NA,NA,0.397860366830403
"58","Spitzweg, Carl",1808,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q164979"," painter ",7950,138,35,34544,346,35,5014,95,35,10.4504001502133
"59","Steinfeld, Franz",1787," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q1449173"," painter ",NA,NA,NA,4429,38,4,NA,NA,NA,0.704679601792349
"60","Stirnbrand, Franz",1788,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1449056"," painter ",NA,NA,NA,3092,23,2,NA,NA,NA,0.429860570724283
"61","Tellgmann, Ferdinand",1811,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q19279556"," photographer ",NA,NA,NA,16149,15,1,NA,NA,NA,1.0636806022436
"62","Tendler, Johann",1811," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q1695480"," painter ",NA,NA,NA,6295,15,1,NA,NA,NA,0.507476924852204
"63","Toma, Matthias",1792," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q1480646"," painter ",NA,NA,NA,2394,10,1,NA,NA,NA,0.252298650118809
"64"," Tominc ,  Giuseppe ",1790," Habsburg Monarchy ","https://www.wikidata.org/wiki/Special:EntityPage/Q532760"," painter ",8914,44,8,4772,17,7,3945,8,7,2.08309136399008
"65","Waldm%C3%BCller, Ferdinand",1793," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q186816"," painter ",NA,NA,NA,21442,198,20,NA,NA,NA,3.53969907378256
"66","Wasmann, Friedrich",1805,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q106456"," painter ",3041,7,3,4271,31,3,NA,NA,NA,0.889011599893425
"67","Wegelin, Adolph",1810,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q365546"," painter ",NA,NA,NA,5077,13,3,2514,3,3,0.753757350164537
"68","Weidenmann, Johann",1805," Switzerland ","https://www.wikidata.org/wiki/Special:EntityPage/Q50134949"," painter ",NA,NA,NA,2604,5,1,NA,NA,NA,0.22916353732534
"69"," Ziegler ,  Josef ",1785," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q1706112"," painter ",NA,NA,NA,1873,8,1,NA,NA,NA,0.208895708632252
"70"," Aagaard ,  Carl ",1833,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q643123"," etcher ",3297,10,10,6671,17,10,NA,NA,NA,1.58472885185684
"71","Abbema, Wilhelm",1812,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q573904"," painter ",NA,NA,NA,5260,14,4,3605,6,4,0.914236656781797
"72","as-Samad, Abd",1500," Iran ","https://www.wikidata.org/wiki/Special:EntityPage/Q307497"," painter ",NA,NA,NA,3865,13,12,NA,NA,NA,0.875452469117026
