"","X.1","X","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca","Occupation_precise"
"3613",3613,3613,17073,1839,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q67239","scientist",NA,NA,NA,3761,17,12,3176,18,12,0.975164684828829," biologist "
"3614",3614,3614,17074,20,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q19959609","scientist",NA,NA,NA,1741,6,1,NA,NA,NA,0.0610084291279442," chemist "
"3615",3615,3615,17075,20,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1714779","scientist",NA,NA,NA,2372,4,1,NA,NA,NA,0.071052532076111," biologist "
"3616",3616,3616,17076,20,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q2572974","scientist",NA,NA,NA,2129,14,1,NA,NA,NA,0.110359797322092," biologist "
"3617",3617,3617,17077,1656,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q719162","scientist",NA,NA,NA,4623,20,9,13886,10,9,1.15924408389724," astronomer "
"3618",3618,3618,17078,20,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q19259625","scientist",NA,NA,NA,1772,17,1,NA,NA,NA,0.113417484349782," biologist "
"3619",3619,3619,17079,1800,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q2388857","scientist",NA,NA,NA,3280,9,7,NA,NA,NA,0.286000378465276," botanist "
"3620",3620,3620,17080,20,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q2544944","scientist",NA,NA,NA,1780,6,1,NA,NA,NA,0.0622074618956249," biologist "
"3621",3621,3621,17081,1832,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1460133","educationalist",NA,NA,NA,4383,19,2,NA,NA,NA,0.230320627125871," pedagogue "
"3622",3622,3622,17082,20,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1505014","university teacher",NA,NA,NA,2707,4,1,NA,NA,NA,0.0813519161061876," university teacher "
"3623",3623,3623,17083,20,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1535537","scientist",NA,NA,NA,1897,7,1,NA,NA,NA,0.0704823763708193," biologist "
"3624",3624,3624,17084,20,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q566625",NA,NA,NA,NA,4623,7,1,NA,NA,NA,0.154291692388696," biologist "
"3625",3625,3625,17085,1839,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q3057362","scientist",NA,NA,NA,4565,13,6,1134,14,6,0.573557297014353," biologist "
"3626",3626,3626,17086,20,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1624549","scientist",NA,NA,NA,4843,9,1,NA,NA,NA,0.170411099319918," biologist "
"3627",3627,3627,17087,1846,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q89624","explorer",NA,NA,NA,8690,22,3,NA,NA,NA,0.404044139253246," explorer "
"3628",3628,3628,17088,1797,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q15814816","physician",NA,NA,NA,4899,20,1,NA,NA,NA,0.223588765290268," physician "
"3629",3629,3629,17089,1758,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1692399","physician",NA,NA,NA,5368,11,1,NA,NA,NA,0.195907557383," physician "
"3630",3630,3630,17090,20,"Poland","https://www.wikidata.org/wiki/Special:EntityPage/Q15432942","scientist",NA,NA,NA,4426,13,3,NA,NA,NA,0.230849544437463," physicist "
"3631",3631,3631,17091,20,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q47408763",NA,NA,NA,NA,2052,18,1,NA,NA,NA,0.126703740905282," biologist "
"3632",3632,3632,17092,1813,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1819244","teacher",NA,NA,NA,3631,9,1,NA,NA,NA,0.133148850231999," teacher "
"3633",3633,3633,17093,20,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1498251","radio personality",NA,NA,NA,7508,11,2,NA,NA,NA,0.288974441312795," radio personality "
"3634",3634,3634,17094,1761,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q62862","scientist",NA,NA,NA,4653,58,24,NA,NA,NA,1.02108013877925," botanist "
"3635",3635,3635,17095,20,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q15456919","journalist",NA,NA,NA,2073,9,1,NA,NA,NA,0.0852490283846576," journalist "
"3636",3636,3636,17096,20,"Poland","https://www.wikidata.org/wiki/Special:EntityPage/Q6526676","scientist",NA,NA,NA,2617,7,2,NA,NA,NA,0.119892169785066," biologist "
"3637",3637,3637,17097,1826,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q17352967","author",NA,NA,NA,7844,11,1,NA,NA,NA,0.272030765915745," author "
"3638",3638,3638,17098,1805,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q264482","theologian",NA,NA,NA,3164,31,13,NA,NA,NA,0.548988803521939," theologian "
"3639",3639,3639,17099,20,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1705755",NA,NA,NA,NA,2582,9,1,NA,NA,NA,0.100897943224386," biologist "
"3640",3640,3640,17100,1843,"Russia","https://www.wikidata.org/wiki/Special:EntityPage/Q172326","scientist",NA,NA,NA,1190,27,22,2825,16,22,1.46720747775818," biologist "
"3641",3641,3641,17101,1729,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q375195","scientist",NA,NA,NA,15119,44,23,856,25,23,2.00417364838018," astronomer "
"3642",3642,3642,17102,20,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q916737","university teacher",NA,NA,NA,2351,17,1,NA,NA,NA,0.131218509285347," university teacher "
"3643",3643,3643,17103,20,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q2591730","scientist",NA,NA,NA,2589,6,1,NA,NA,NA,0.0870797057175111," biologist "
"3644",3644,3644,17104,1846,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q3161496","scientist",NA,NA,NA,4859,20,4,NA,NA,NA,0.304180399663848," zoologist "
"3645",3645,3645,17105,1515,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q384460","scientist",NA,NA,NA,4351,15,10,NA,NA,NA,0.428815971535699," botanist "
"3646",3646,3646,17106,1517,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1503494","theologian",NA,NA,NA,6490,31,1,NA,NA,NA,0.323959131219328," theologian "
"3647",3647,3647,17107,1568,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q571155","scientist",NA,NA,NA,1722,15,11,1555,19,11,0.801458674028752," botanist "
"3648",3648,3648,17108,1520,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1692309","scientist",NA,NA,NA,2388,15,1,NA,NA,NA,0.123000420848841," botanist "
"3649",3649,3649,17109,1553,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q538065","scientist",NA,NA,NA,13441,35,16,11968,48,16,1.97778971649285," botanist "
"3650",3650,3650,17110,1512,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3266379","scientist",NA,NA,NA,2997,10,3,2154,22,3,0.413721565922692," botanist "
"3651",3651,3651,17111,1558,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q249386","scientist",NA,NA,NA,1831,11,7,NA,NA,NA,0.250807331825758," botanist "
"3652",3652,3652,17112,1517,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q445560","scientist",NA,NA,NA,4279,31,21,NA,NA,NA,0.801459273762163," naturalist "
"3653",3653,3653,17114,1536,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q1510122","scientist",NA,NA,NA,4349,16,3,NA,NA,NA,0.242515671848501," astronomer "
"3654",3654,3654,17115,1500,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q338661","physician",NA,NA,NA,6638,5,7,NA,NA,NA,0.370528909516954," physician "
"3655",3655,3655,17116,1450,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q75921","physician",NA,NA,NA,13925,106,6,NA,NA,NA,1.03974920002395," physician "
"3656",3656,3656,17117,1529,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1079135","historian",NA,NA,NA,4511,17,1,NA,NA,NA,0.197626477956885," historian "
"3657",3657,3657,17119,1578,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q2041970","scientist",NA,NA,NA,4391,9,1,NA,NA,NA,0.156514616986799," entomologist "
"3658",3658,3658,17120,1567,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1390516","scientist",NA,NA,NA,4073,14,7,NA,NA,NA,0.333769792268878," paleontologist "
"3659",3659,3659,17121,1486,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q96643","scientist",NA,NA,NA,12476,65,7,4597,15,7,1.22842209742387," botanist "
"3660",3660,3660,17122,1513,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q356009","scientist",NA,NA,NA,2745,16,5,1666,9,5,0.47341668025609," botanist "
"3661",3661,3661,17123,1528,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q15944538","physician",NA,NA,NA,4611,13,3,NA,NA,NA,0.236537263976461," physician "
"3662",3662,3662,17124,1517,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q437466","scientist",NA,NA,NA,5681,49,20,NA,NA,NA,0.901489851780466," botanist "
"3663",3663,3663,17125,1492,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q102724","scientist",NA,NA,NA,4864,13,5,NA,NA,NA,0.298863212465548," botanist "
"3664",3664,3664,17126,1529,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q205031","physician",NA,NA,NA,1988,12,6,NA,NA,NA,0.233038219641506," physician "
"3665",3665,3665,17128,1500,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q527567","scientist",NA,NA,NA,2850,8,4,NA,NA,NA,0.186281045847495," botanist "
"3666",3666,3666,17129,1545,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1697508","scientist",NA,NA,NA,4010,13,1,NA,NA,NA,0.16351225386807," botanist "
"3667",3667,3667,17130,1501,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q60756","physician",NA,NA,NA,9159,195,21,NA,NA,NA,1.718653944105," physician "
"3668",3668,3668,17131,1545,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1333338","scientist",NA,NA,NA,7630,29,14,NA,NA,NA,0.704211599149094," botanist "
"3669",3669,3669,17132,1490,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q613632","scientist",NA,NA,NA,5272,19,14,2373,46,14,1.23030815057886," botanist "
"3670",3670,3670,17133,1523,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q110028","scientist",NA,NA,NA,4427,11,3,NA,NA,NA,0.221524656523098," botanist "
"3671",3671,3671,17134,1532,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q19631409","university teacher",NA,NA,NA,3257,5,1,NA,NA,NA,0.10293916874563," university teacher "
"3672",3672,3672,17135,1572,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q73654","scientist",NA,NA,NA,3412,25,6,NA,NA,NA,0.337629898114804," botanist "
"3673",3673,3673,17136,1538,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1860320","scientist",NA,NA,NA,2128,40,12,NA,NA,NA,0.531964115795862," botanist "
"3674",3674,3674,17138,1500,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q809505","scientist",NA,NA,NA,3546,10,9,NA,NA,NA,0.353403820715743," botanist "
"3675",3675,3675,17139,1501,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q457191","scientist",NA,NA,NA,13958,93,21,4515,74,21,2.40815804643045," botanist "
"3676",3676,3676,17140,1546,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q20753142","university teacher",NA,NA,NA,2313,8,1,NA,NA,NA,0.0879498753982314," university teacher "
"3677",3677,3677,17141,1541,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1363975","anthropologist",NA,NA,NA,3904,12,7,NA,NA,NA,0.319218351264623," anthropologist "
"3678",3678,3678,17142,1508,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q950531","physician",NA,NA,NA,2634,16,14,NA,NA,NA,0.489800816928234," physician "
"3679",3679,3679,17143,1492,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1613275","historian",NA,NA,NA,139519,50,3,NA,NA,NA,4.55728601676273," historian "
"3680",3680,3680,17146,1535,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q647384","scientist",NA,NA,NA,1708,10,3,NA,NA,NA,0.133252735342652," botanist "
