"","1300","1350","1400","1450","1500","1550","1600","1650","1700","1750","1800","1850"
"United Kingdom",711,882,1053,1047,1041,1039,1037,887,1513,1695,2097,2718
"Italy",1477,1536.5,1596,1497,1398,1320.5,1243,1275,1346,1398,1243,1350
"Germany",839,992.5,1146,1146,1146,976.5,807,948,939,1050,986,1428
"France",912,1085,1084,1073,1023,932,971,1023,1020,1022,1090,1557
"Scandinavia",560,664,768,768,768,768,768,974,1352,981,864,1086
"Iberia",803,791.5,780,813,846,869,892,687,814,783,916,1001
"Poland",562,562,562,632,702,756,810,810,569,569,634,634
"Russia",NA,NA,NA,NA,499,525.5,552,581,610,645,680,750
"Belgium",896,1009.5,1123,1305,1487,1538,1589,1445,1375,1361,1479,1847
"Netherlands",674,797,920,1019.5,1119,1584,2049,2071,1620,1812,2008,2371
