"","Names","Birth_dates","Countries","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","Wikidata","bytes_french","Quotations_french","languages_french","pca"
"1","269","1660","United Kingdom",2139,21,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q6218135",NA,NA,NA,0.115293260712453
"2","919","1667","United Kingdom",21830,394,17,4427,39,17,"https://www.wikidata.org/wiki/Special:EntityPage/Q435816",7424,49,17,3.46207086078794
"3","1533","1680","United Kingdom",680,6,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q7787486",NA,NA,NA,0.0421584361591225
"4","3683","1663","United Kingdom",4238,18,8,5159,6,8,"https://www.wikidata.org/wiki/Special:EntityPage/Q835863",3171,17,8,1.14964801375105
"5","3525","1750","United Kingdom",4973,15,7,2170,8,7,"https://www.wikidata.org/wiki/Special:EntityPage/Q6779387",NA,NA,NA,0.644768042450693
"6","162","1755","United Kingdom",3132,18,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q6536534",NA,NA,NA,0.117185811865757
"7","180","1772","United Kingdom",3909,13,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q7345162",NA,NA,NA,0.165942804563086
"8","7250","1733","United Kingdom",4899,91,5,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2092570",3593,17,5,0.720167612611427
"9","7777","1675","United Kingdom",7823,363,22,3724,13,22,"https://www.wikidata.org/wiki/Special:EntityPage/Q371877",4145,20,22,2.97199395581324
"10","8116","1671","United Kingdom",7053,193,9,7194,10,9,"https://www.wikidata.org/wiki/Special:EntityPage/Q2747596",1557,17,9,1.61615661438807
"11","8152","1756","United Kingdom",4183,18,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q7146933",NA,NA,NA,0.154164715730472
"12","9629","1698","United Kingdom",14282,150,38,5681,43,38,"https://www.wikidata.org/wiki/Special:EntityPage/Q8755",4911,61,38,4.61338596886205
"13","10653","1714","United Kingdom",5575,9,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q4902546",5849,8,2,0.491695419230926
"14","11219","1716","United Kingdom",3333,31,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q5726568",NA,NA,NA,0.171837311938836
"15","11739","1748","United Kingdom",13710,188,25,5098,29,25,"https://www.wikidata.org/wiki/Special:EntityPage/Q389666",4288,47,25,3.40750652042773
"16","12204","1705","United Kingdom",1993,59,5,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3297579",NA,NA,NA,0.251441198010828
"17","12547","1751","United Kingdom",4914,65,4,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q4669154",NA,NA,NA,0.334249842942991
"18","13731","1687","United Kingdom",4864,67,12,4321,12,12,"https://www.wikidata.org/wiki/Special:EntityPage/Q1370937",4146,31,12,1.66639753998816
"19","14256","1753","United Kingdom",12739,168,14,5016,22,14,"https://www.wikidata.org/wiki/Special:EntityPage/Q218254",NA,NA,NA,1.68508078591611
"20","156","1692","United Kingdom",6863,65,22,5542,17,22,"https://www.wikidata.org/wiki/Special:EntityPage/Q437734",12261,39,22,2.91599285892313
"21","14820","1659","United Kingdom",4296,9,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q5545258",NA,NA,NA,0.145060175481156
"22","15429","1734","United Kingdom",12483,44,5,9042,18,5,"https://www.wikidata.org/wiki/Special:EntityPage/Q432189",3966,16,5,1.42494902527402
"23","15889","1714","United Kingdom",9018,58,11,2933,12,11,"https://www.wikidata.org/wiki/Special:EntityPage/Q1386031",6303,15,11,1.6758596186257
"24","144","1720","United Kingdom",1218,10,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q5536249",NA,NA,NA,0.0382156774483837
"25","1050","1745","United Kingdom",3618,91,24,2442,26,24,"https://www.wikidata.org/wiki/Special:EntityPage/Q441174",1794,21,24,2.54578861756538
"26","159","1787","United Kingdom",2055,14,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q6220318",NA,NA,NA,0.0734786053011489
"27","114","1700","United Kingdom",4365,32,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q6220888",NA,NA,NA,0.180915564199586
"28","1542","1701","United Kingdom",16093,163,42,5253,46,42,"https://www.wikidata.org/wiki/Special:EntityPage/Q208452",6349,47,42,5.01670541031195
"29","1848","1700","United Kingdom",1525,49,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q6281516",NA,NA,NA,0.1343845219215
"30","2084","1700","United Kingdom",6290,99,21,1569,19,21,"https://www.wikidata.org/wiki/Special:EntityPage/Q945461",3188,27,21,2.41176902411583
"31","195","1738","United Kingdom",3945,11,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q8006117",NA,NA,NA,0.135617170784253
"32","2764","1747","United Kingdom",11863,24,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3428316",4029,12,2,0.693568572612288
"33","2795","1707","United Kingdom",6151,18,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q4076065",NA,NA,NA,0.252093323841532
"34","3032","1652","United Kingdom",4136,49,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q6225513",NA,NA,NA,0.226251237419092
"35","3513","1680","United Kingdom",3308,52,12,3018,13,12,"https://www.wikidata.org/wiki/Special:EntityPage/Q1394680",2175,29,12,1.48363780720091
"36","3633","1682","United Kingdom",16705,98,22,4622,21,22,"https://www.wikidata.org/wiki/Special:EntityPage/Q451667",3751,37,22,3.02235528686364
"37","3663","1719","United Kingdom",3764,12,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3809424",NA,NA,NA,0.159387676380452
"38","268","1734","United Kingdom",13459,23,4,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q6228890",NA,NA,NA,0.573859538281956
"39","4248","1675","United Kingdom",3143,43,4,2675,8,4,"https://www.wikidata.org/wiki/Special:EntityPage/Q1637291",NA,NA,NA,0.468722915708904
"40","156","1705","United Kingdom",6148,19,5,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3710079",NA,NA,NA,0.339497714813451
"41","4313","1729","United Kingdom",3961,16,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2896063",4384,6,2,0.390306736824301
"42","181","1734","United Kingdom",10983,18,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q7411285",NA,NA,NA,0.422104801928229
"43","191","1701","United Kingdom",4921,41,7,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3031685",2063,17,7,0.711296864578381
"44","4833","1775","United Kingdom",7610,13,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q7789412",NA,NA,NA,0.267475096550135
"45","5153","1714","United Kingdom",2155,6,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q4668855",NA,NA,NA,0.0940555657470726
"46","5191","1690","United Kingdom",4802,239,6,3899,13,6,"https://www.wikidata.org/wiki/Special:EntityPage/Q325849",NA,NA,NA,0.9848946946965
"47","5616","1710","United Kingdom",1880,6,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q5539622",NA,NA,NA,0.0556943070567029
"48","6214","1774","United Kingdom",3516,36,4,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3710265",NA,NA,NA,0.242914002089583
"49","159","1759","United Kingdom",1097,7,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q6236277",NA,NA,NA,0.0295982242161846
"50","6545","1656","United Kingdom",31954,869,79,14972,190,79,"https://www.wikidata.org/wiki/Special:EntityPage/Q47434",30266,339,79,12.6157216526273
"51","133","1678","United Kingdom",3824,145,3,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q5078861",NA,NA,NA,0.383483337952798
"52","159","1773","United Kingdom",2894,13,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q6240251",NA,NA,NA,0.101545019841348
"53","7423","1737","United Kingdom",11145,160,13,5639,15,13,"https://www.wikidata.org/wiki/Special:EntityPage/Q726736",5091,29,13,2.1818634409007
"54","7888","1684","United Kingdom",13512,189,6,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q1959556",14599,13,6,1.55406567900433
"55","8891","1719","United Kingdom",3609,38,11,2511,6,11,"https://www.wikidata.org/wiki/Special:EntityPage/Q1398963",4146,13,11,1.33870652728879
"56","9019","1761","United Kingdom",39357,54,3,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q8014371",NA,NA,NA,1.50143672800106
"57","9493","1717","United Kingdom",6712,18,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q8014775",NA,NA,NA,0.243146302667818
"58","9552","1739","United Kingdom",3043,35,9,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q510592",3387,11,9,0.765210033350418
"59","9613","1680","United Kingdom",4141,222,18,1940,20,18,"https://www.wikidata.org/wiki/Special:EntityPage/Q726385",2735,29,18,2.27574619219734
"60","10509","1731","United Kingdom",3484,24,4,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3709989",NA,NA,NA,0.224347580736776
"61","10916","1643","United Kingdom",117326,5443,207,51248,1279,207,"https://www.wikidata.org/wiki/Special:EntityPage/Q935",88435,1640,207,46.346793757624
"62","191","1720","United Kingdom",1920,6,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q8016700",NA,NA,NA,0.0571016868421887
"63","11846","1731","United Kingdom",3248,26,3,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2910594",NA,NA,NA,0.190265270257992
"64","12553","1707","United Kingdom",6889,62,14,5342,14,14,"https://www.wikidata.org/wiki/Special:EntityPage/Q201803",3831,25,15,1.92947708664712
"65","13029","1682","United Kingdom",11054,91,9,3563,17,9,"https://www.wikidata.org/wiki/Special:EntityPage/Q927848",2246,31,9,1.60969133617493
"66","13516","1653","United Kingdom",4284,32,12,4625,12,12,"https://www.wikidata.org/wiki/Special:EntityPage/Q330614",NA,NA,NA,1.01921879827625
"67","13727","1710","United Kingdom",11663,86,26,3855,16,26,"https://www.wikidata.org/wiki/Special:EntityPage/Q336780",6198,43,26,3.21529493483218
"68","13885","1689","United Kingdom",6238,46,5,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q1747469",2968,24,5,0.711062776901183
"69","14593","1685","United Kingdom",10652,255,37,2658,42,37,"https://www.wikidata.org/wiki/Special:EntityPage/Q212085",11758,40,37,4.58779892765509
"70","188","1700","United Kingdom",2044,12,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q7966266",NA,NA,NA,0.0701848229394039
"71","15280","1749","United Kingdom",4644,94,10,3389,15,10,"https://www.wikidata.org/wiki/Special:EntityPage/Q1107977",2581,22,10,1.43019575977827
"72","15500","1736","United Kingdom",9974,116,26,2409,13,26,"https://www.wikidata.org/wiki/Special:EntityPage/Q323028",12728,58,26,3.41035308990607
"73","15741","1667","United Kingdom",32543,280,18,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q452091",15249,44,18,3.17446771350467
"74","15895","1741","United Kingdom",1968,22,9,1333,10,9,"https://www.wikidata.org/wiki/Special:EntityPage/Q337339",1524,14,9,0.995040378046459
"75","156","1760","United Kingdom",3838,45,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q6145777",NA,NA,NA,0.181267229510596
"76","3825","1717","France",25728,1117,72,16726,473,72,"https://www.wikidata.org/wiki/Special:EntityPage/Q153232",29747,1077,72,16.596103839938
"77","3827","1671","France",6357,27,9,2983,14,9,"https://www.wikidata.org/wiki/Special:EntityPage/Q1678153",27031,42,9,2.15156913724467
"78","834","1675","France",2679,20,7,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2326613",NA,NA,NA,0.276267124707862
"79","915","1759","France",11094,43,10,4541,8,10,"https://www.wikidata.org/wiki/Special:EntityPage/Q2572301",8309,30,10,1.80059625665634
"80","935","1768","France",4851,58,27,3485,17,27,"https://www.wikidata.org/wiki/Special:EntityPage/Q315419",NA,NA,NA,1.90468652326696
"81","1118","1698","France",3246,31,13,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q767329",10029,36,13,1.30405912033159
"82","1813","1704","France",2707,13,7,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2351493",2794,14,7,0.603462838545127
"83","1120","1730","France",2159,54,30,2445,16,30,"https://www.wikidata.org/wiki/Special:EntityPage/Q289471",11236,68,30,3.38676451679236
"84","1981","1774","France",15030,175,48,10673,91,48,"https://www.wikidata.org/wiki/Special:EntityPage/Q58328",27787,161,48,7.02500987039059
"85","2096","1704","France",1706,9,6,2570,8,6,"https://www.wikidata.org/wiki/Special:EntityPage/Q3120019",1864,16,6,0.765504470209433
"86","2249","1733","France",7646,106,27,4171,50,27,"https://www.wikidata.org/wiki/Special:EntityPage/Q369762",9828,134,27,3.84723646254443
"87","2296","1730","France",2067,23,13,6285,10,13,"https://www.wikidata.org/wiki/Special:EntityPage/Q860178",8586,52,13,1.86605256556546
"88","2312","1698","France",6903,93,33,7143,72,33,"https://www.wikidata.org/wiki/Special:EntityPage/Q11065",14698,97,33,4.49599254271562
"89","2695","1707","France",25309,981,53,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q229264",80467,833,53,11.231143598236
"90","2882","1699","France",2623,35,11,2959,8,11,"https://www.wikidata.org/wiki/Special:EntityPage/Q1231575",4610,40,11,1.44942592697303
"91","2884","1754","France",1906,19,6,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3339958",NA,NA,NA,0.218930611227825
"92","2975","1663","France",1374,12,5,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3261435",3759,11,5,0.461721643697041
"93","3051","1698","France",6902,3,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q23822682",NA,NA,NA,0.228030709743354
"94","3151","1710","France",3216,10,7,8683,8,7,"https://www.wikidata.org/wiki/Special:EntityPage/Q1371596",5728,18,7,1.22198066436578
"95","3083","1706","France",35025,291,44,24270,85,44,"https://www.wikidata.org/wiki/Special:EntityPage/Q7286",28842,257,44,8.3862556564276
"96","3317","1683","France",3848,27,4,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3169136",14674,22,4,0.906711375163287
"97","3354","1713","France",14976,266,43,6281,66,43,"https://www.wikidata.org/wiki/Special:EntityPage/Q28937",10777,108,43,5.72867804715162
"98","3532","1743","France",33854,1410,47,15567,146,47,"https://www.wikidata.org/wiki/Special:EntityPage/Q201477",53145,816,47,13.3266198380834
"99","3615","1750","France",2989,16,7,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q1153589",3167,22,7,0.662741603042457
"100","4053","1749","France",11478,129,29,6204,65,29,"https://www.wikidata.org/wiki/Special:EntityPage/Q246517",13346,175,29,4.59585765002666
"101","4110","1703","France",2287,29,8,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2853864",12634,46,8,1.11259173408893
"102","4475","1784","France",6836,78,14,3519,15,14,"https://www.wikidata.org/wiki/Special:EntityPage/Q860206",41078,113,14,3.4190133472481
"103","5271","1768","France",23187,435,109,13318,134,109,"https://www.wikidata.org/wiki/Special:EntityPage/Q8772",43555,255,109,13.9289218916914
"104","5516","1734","France",916,10,3,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2966252",1476,17,3,0.283561578844425
"105","5662","1732","France",15341,16,5,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3588275",NA,NA,NA,0.658588644631644
"106","5743","1771","France",7592,68,13,3163,14,13,"https://www.wikidata.org/wiki/Special:EntityPage/Q1707098",7525,37,13,1.95273305526031
"107","5872","1765","France",4548,26,10,3892,23,10,"https://www.wikidata.org/wiki/Special:EntityPage/Q571287",NA,NA,NA,0.936788903801079
"108","9752","1710","France",3161,35,12,3676,14,12,"https://www.wikidata.org/wiki/Special:EntityPage/Q1384614",19719,21,12,2.00217265601554
"109","6432","1706","France",6160,17,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q5339996",NA,NA,NA,0.222271085167744
"110","6472","1769","France",4667,31,8,1893,16,8,"https://www.wikidata.org/wiki/Special:EntityPage/Q1248339",6390,33,8,1.29846398904768
"111","6634","1750","France",7675,14,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q5078784",NA,NA,NA,0.271215465161918
"112","7592","1711","France",4818,30,7,6054,23,7,"https://www.wikidata.org/wiki/Special:EntityPage/Q675224",9427,20,7,1.4224128689921
"113","8607","1760","France",3434,30,14,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q560935",2714,16,14,1.04999860979573
"114","3531","1701","France",12034,135,25,37160,78,25,"https://www.wikidata.org/wiki/Special:EntityPage/Q26681",29849,144,25,5.69957714507025
"115","7064","1640","France",7451,72,19,2444,36,19,"https://www.wikidata.org/wiki/Special:EntityPage/Q371890",11884,107,19,2.96121945010606
"116","9447","1642","France",6075,83,6,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2402554",NA,NA,NA,0.458630862833655
"117","8814","1765","France",8477,65,14,1938,21,14,"https://www.wikidata.org/wiki/Special:EntityPage/Q983382",13487,67,14,2.37118153601365
"118","8828","1736","France",44056,849,81,7879,238,81,"https://www.wikidata.org/wiki/Special:EntityPage/Q80222",22556,443,81,13.3715010636482
"119","8874","1640","France",5398,36,7,1524,25,7,"https://www.wikidata.org/wiki/Special:EntityPage/Q277219",8825,34,7,1.36055456119037
"120","8934","1749","France",93706,1043,92,27073,323,92,"https://www.wikidata.org/wiki/Special:EntityPage/Q44481",79957,577,92,19.6785166462684
"121","8940","1791","France",3696,4,3,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2958203",2237,7,3,0.355348886888605
"122","9047","1760","France",4015,5,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2871016",3493,6,2,0.347948281840412
"123","9076","1752","France",16131,254,47,13506,115,47,"https://www.wikidata.org/wiki/Special:EntityPage/Q191021",18877,170,47,7.04946595554133
"124","8783","1661","France",10060,136,40,6437,31,40,"https://www.wikidata.org/wiki/Special:EntityPage/Q202279",7173,59,40,4.64119954266196
"125","9836","1742","France",4972,12,3,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3166466",5709,22,3,0.58421486702415
"126","9842","1738","France",1039,14,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q18945581",NA,NA,NA,0.066416681414961
"127","10503","1698","France",23708,236,39,17135,143,39,"https://www.wikidata.org/wiki/Special:EntityPage/Q164374",27111,191,39,7.21628747235123
"128","10231","1754","France",4937,51,9,5652,33,9,"https://www.wikidata.org/wiki/Special:EntityPage/Q1684673",8449,59,9,1.78828785564765
"129","10414","1667","France",18846,274,49,7374,60,49,"https://www.wikidata.org/wiki/Special:EntityPage/Q200397",11254,106,49,6.38720538177283
"130","10437","1746","France",15177,376,44,11704,97,44,"https://www.wikidata.org/wiki/Special:EntityPage/Q206832",34406,472,44,8.54900699247523
"131","10460","1678","France",5093,35,15,8233,15,15,"https://www.wikidata.org/wiki/Special:EntityPage/Q474930",4822,30,15,2.02873398256448
"132","10463","1725","France",5087,44,16,3057,13,16,"https://www.wikidata.org/wiki/Special:EntityPage/Q203769",7274,56,16,2.14174962114309
"133","10936","1683","France",1320,17,5,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3085476",6579,15,5,0.573147368792706
"134","11226","1640","France",4304,38,15,4321,17,15,"https://www.wikidata.org/wiki/Special:EntityPage/Q378060",11704,42,15,2.16252371623108
"135","11331","1666","France",1403,22,8,2085,10,8,"https://www.wikidata.org/wiki/Special:EntityPage/Q586828",5580,17,8,1.05635351968374
"136","11368","1755","France",3982,29,13,2754,14,13,"https://www.wikidata.org/wiki/Special:EntityPage/Q527008",5987,20,13,1.63719246416252
"137","11429","1732","France",323,6,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2834425",7626,16,2,0.39209160997052
"138","11662","1724","France",1769,12,6,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3292355",2246,8,6,0.470962097697567
"139","11930","1755","France",8924,66,21,5866,27,21,"https://www.wikidata.org/wiki/Special:EntityPage/Q451608",27183,99,21,3.68582456082301
"140","11208","1701","France",2897,3,4,3553,9,4,"https://www.wikidata.org/wiki/Special:EntityPage/Q1684941",1723,9,4,0.63398016007447
"141","12233","1722","France",2709,8,3,2993,7,3,"https://www.wikidata.org/wiki/Special:EntityPage/Q3592005",2636,18,3,0.591276601452287
"142","12391","1656","France",2101,9,6,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2958304",2923,16,6,0.532925695836369
"143","12615","1652","France",7595,56,27,3760,13,27,"https://www.wikidata.org/wiki/Special:EntityPage/Q323234",5587,28,27,3.01310356193835
"144","13031","1659","France",1009,16,6,3219,6,6,"https://www.wikidata.org/wiki/Special:EntityPage/Q501936",8161,16,6,0.9615547414408
"145","13036","1653","France",10789,98,10,3505,22,10,"https://www.wikidata.org/wiki/Special:EntityPage/Q1356811",3554,39,10,1.78987011115551
"146","13037","1720","France",733,6,5,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2834016",7381,35,5,0.644857705911273
"147","12824","1734","France",2186,21,5,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2823095",12296,26,5,0.836426972931926
"148","14507","1651","France",7534,42,6,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q1557587",NA,NA,NA,0.450376605634159
"149","14940","1657","France",7365,20,5,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q1410935",NA,NA,NA,0.383770621247228
"150","15102","1735","France",3439,53,20,1834,23,20,"https://www.wikidata.org/wiki/Special:EntityPage/Q441167",5155,56,20,2.37102470168731
"151","15122","1654","France",4605,58,22,5487,20,22,"https://www.wikidata.org/wiki/Special:EntityPage/Q379219",11731,77,22,2.97941489462042
"152","401","1702","Germany",1854,17,7,3296,21,7,"https://www.wikidata.org/wiki/Special:EntityPage/Q77818",NA,NA,NA,0.633364194949767
"153","1430","1769","Germany",5934,31,10,12725,20,10,"https://www.wikidata.org/wiki/Special:EntityPage/Q70818",NA,NA,NA,1.25035359681822
"154","1669","1762","Germany",2513,13,6,4197,17,6,"https://www.wikidata.org/wiki/Special:EntityPage/Q97151",NA,NA,NA,0.603767411239757
"155","2156","1765","Germany",1388,31,15,17777,69,15,"https://www.wikidata.org/wiki/Special:EntityPage/Q65183",18883,17,15,2.83085470091071
"156","2407","1777","Germany",3529,33,10,6166,30,10,"https://www.wikidata.org/wiki/Special:EntityPage/Q66556",NA,NA,NA,1.01376708587823
"157","2730","1773","France",5427,23,14,3619,21,14,"https://www.wikidata.org/wiki/Special:EntityPage/Q65223",1971,19,14,1.69013941403579
"158","4710","1705","Poland",2341,16,5,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q526236",NA,NA,NA,0.201190214348726
"159","5425","1750","Germany",8196,21,4,6735,17,4,"https://www.wikidata.org/wiki/Special:EntityPage/Q96680",NA,NA,NA,0.781458616090227
"160","5661","1777","Germany",65292,2180,134,81672,1084,134,"https://www.wikidata.org/wiki/Special:EntityPage/Q6722",44047,614,134,28.0721434302271
"161","5954","1690","Germany",4358,89,39,4411,38,39,"https://www.wikidata.org/wiki/Special:EntityPage/Q207325",3465,45,39,4.08397960857837
"162","6265","1726","Germany",2414,9,4,2507,14,4,"https://www.wikidata.org/wiki/Special:EntityPage/Q104451",NA,NA,NA,0.416560452268815
"163","6592","1685","Germany",3481,25,5,8079,22,5,"https://www.wikidata.org/wiki/Special:EntityPage/Q96517",NA,NA,NA,0.742046150940603
"164","6593","1695","Germany",1971,13,4,2148,17,4,"https://www.wikidata.org/wiki/Special:EntityPage/Q91380",NA,NA,NA,0.409783425153841
"165","6697","1684","Germany",2419,23,5,13061,37,5,"https://www.wikidata.org/wiki/Special:EntityPage/Q106630",NA,NA,NA,0.925109457261214
"166","6734","1693","Germany",3024,31,10,5913,28,10,"https://www.wikidata.org/wiki/Special:EntityPage/Q91657",3612,11,10,1.40716126538098
"167","6881","1648","Germany",3273,5,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q5162533",NA,NA,NA,0.131938454291035
"168","6889","1733","Germany",2341,13,6,8521,21,6,"https://www.wikidata.org/wiki/Special:EntityPage/Q78101",NA,NA,NA,0.749365857913618
"169","7049","1741","Germany",5093,23,13,7689,27,13,"https://www.wikidata.org/wiki/Special:EntityPage/Q65720",2481,3,13,1.6983848380351
"170","8043","1732","Germany",1728,11,4,5699,25,4,"https://www.wikidata.org/wiki/Special:EntityPage/Q99551",NA,NA,NA,0.544922840132312
"171","7897","1719","Germany",5361,65,18,8090,86,18,"https://www.wikidata.org/wiki/Special:EntityPage/Q61813",1147,21,18,2.50475693438521
"172","8264","1713","Germany",2978,27,5,3168,21,5,"https://www.wikidata.org/wiki/Special:EntityPage/Q91653",NA,NA,NA,0.571591391448773
"173","8368","1685","Poland",4239,31,14,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q65219",NA,NA,NA,0.547940736061941
"174","8346","1739","Germany",2167,19,8,4797,15,8,"https://www.wikidata.org/wiki/Special:EntityPage/Q214378",NA,NA,NA,0.721323513521965
"175","7899","1712","Germany",1837,30,12,6032,26,12,"https://www.wikidata.org/wiki/Special:EntityPage/Q64773",3688,23,12,1.57651864872896
"176","8862","1728","Germany",17037,240,42,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q122999",57790,149,42,5.69467145803541
"177","9093","1646","Germany",123211,2632,132,95391,1783,132,"https://www.wikidata.org/wiki/Special:EntityPage/Q9047",147057,1290,132,40.3630047470622
"178","10380","1711","Germany",13295,79,13,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q65210",NA,NA,NA,0.907648066928466
"179","11605","1765","Germany",3960,55,20,11371,49,20,"https://www.wikidata.org/wiki/Special:EntityPage/Q77361",3963,27,20,2.64906346116663
"180","14357","1755","Germany",5286,45,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q104710",NA,NA,NA,0.260899900410339
"181","14956","1651","Germany",10622,176,25,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q77288",5447,48,25,2.34809945743594
"182","15609","1691","Germany",1670,11,5,4702,23,5,"https://www.wikidata.org/wiki/Special:EntityPage/Q70690",4715,13,5,0.897826039374593
"183","9831","1768","Italy",3051,13,5,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3710198",NA,NA,NA,0.221811076159996
"184","442","1718","Italy",17114,435,57,8763,40,57,"https://www.wikidata.org/wiki/Special:EntityPage/Q200392",NA,NA,NA,4.83271557541334
"185","2276","1684","Italy",3443,21,8,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q4940170",6748,6,8,0.789069322207191
"186","2641","1768","Italy",4049,12,8,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2268975",NA,NA,NA,0.341528393342963
"187","3006","1617","Italy",3315,30,10,2888,15,10,"https://www.wikidata.org/wiki/Special:EntityPage/Q673468",888,12,10,1.17984618766917
