"","Names","Birth_dates","Countries","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","Wikidata","bytes_french","Quotations_french","languages_french","pca"
"730","8183","1571","Germany",94090,2332,132,71804,999,132,"https://www.wikidata.org/wiki/Special:EntityPage/Q8963",54749,745,132,29.3217713043931
"731","11486","1547","Germany",1951,16,3,3987,20,3,"https://www.wikidata.org/wiki/Special:EntityPage/Q91453",NA,NA,NA,0.428052993297069
"732","11711","1561","Germany",3090,49,13,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q65187",7181,27,13,1.19705801112414
"733","937","1570","Italy",2161,15,5,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2270844",2311,12,5,0.45197235233418
"734","1270","1553","Italy",5030,44,13,6236,10,13,"https://www.wikidata.org/wiki/Special:EntityPage/Q560613",NA,NA,NA,1.15903991961208
"735","1280","1582","Italy",2989,35,7,8127,11,7,"https://www.wikidata.org/wiki/Special:EntityPage/Q2246876",8678,41,7,1.43620970604431
"736","1411","1537","Italy",5847,41,11,17144,29,11,"https://www.wikidata.org/wiki/Special:EntityPage/Q657600",5580,29,11,2.09110590777725
"737","1809","1600","Italy",3106,34,8,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2703863",1855,15,8,0.678158548304996
"738","1845","1582","Italy",3285,35,11,1736,13,11,"https://www.wikidata.org/wiki/Special:EntityPage/Q1898676",2337,18,11,1.29519100667964
"739","1921","1566","Italy",5879,42,10,2036,21,10,"https://www.wikidata.org/wiki/Special:EntityPage/Q501774",5653,25,10,1.49445226743708
"740","2226","1560","Italy",4682,18,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q24885719",NA,NA,NA,0.200407301219562
"741","2253","1608","Italy",9506,98,33,10215,55,33,"https://www.wikidata.org/wiki/Special:EntityPage/Q311814",16432,56,33,4.49483611803303
"742","2812","1586","Italy",4883,37,9,4591,13,9,"https://www.wikidata.org/wiki/Special:EntityPage/Q2880132",3190,8,10,1.28869328863983
"743","3021","1583","Italy",5538,79,16,4000,31,16,"https://www.wikidata.org/wiki/Special:EntityPage/Q560872",1850,46,16,2.10812437922253
"744","3035","1552","Italy",2501,41,24,1971,21,24,"https://www.wikidata.org/wiki/Special:EntityPage/Q279892",4515,31,24,2.52373759559523
"745","3050","1598","Italy",9132,117,45,4173,62,45,"https://www.wikidata.org/wiki/Special:EntityPage/Q214544",7198,73,46,5.1575622095927
"746","10449","1545","Italy",3991,41,17,5094,23,17,"https://www.wikidata.org/wiki/Special:EntityPage/Q266017",7439,57,17,2.30067157570513
"747","9903","1707","Italy",3565,17,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q18945748",NA,NA,NA,0.1596528442495
"748","4185","1551","Italy",2113,3,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q18945254",NA,NA,NA,0.0882176875912076
"749","5010","1551","Italy",6055,15,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3071889",NA,NA,NA,0.244355482975262
"750","5542","1564","Italy",154811,3702,176,70352,1160,176,"https://www.wikidata.org/wiki/Special:EntityPage/Q307",102189,1578,176,42.7706158929189
"751","6143","1583","Italy",4917,37,7,2811,14,7,"https://www.wikidata.org/wiki/Special:EntityPage/Q1140569",2204,25,7,1.085806554294
"752","6255","1618","Italy",4939,90,34,3835,35,34,"https://www.wikidata.org/wiki/Special:EntityPage/Q315411",4805,46,34,3.70550042719458
"753","6338","1624","Italy",5513,88,30,10606,45,30,"https://www.wikidata.org/wiki/Special:EntityPage/Q323281",3017,45,30,3.58462364517686
"754","10275","1551","Italy",1150,1,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q18945586",NA,NA,NA,0.0514282663348986
"755","9661","1555","Italy",8370,64,15,1995,17,15,"https://www.wikidata.org/wiki/Special:EntityPage/Q740978",6416,45,15,2.11650830377619
"756","11076","1569","Italy",4716,12,3,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3868791",5499,11,4,0.550047276228688
"757","10447","1601","Italy",1760,2,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q18945709",NA,NA,NA,0.0743441845239267
"758","11655","1586","Italy",3062,22,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q5564030",NA,NA,NA,0.149221925748856
"759","11700","1646","Italy",9993,101,29,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q466851",NA,NA,NA,1.28241151040717
"760","12346","1606","Italy",4334,25,6,3264,9,6,"https://www.wikidata.org/wiki/Special:EntityPage/Q1033035",2919,13,6,0.928277246245505
"761","12415","1650","Italy",1072,10,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q20657573",NA,NA,NA,0.0617642638965143
"762","12416","1552","Italy",34606,512,41,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q233340",NA,NA,NA,3.08997147410444
"763","12870","1571","Italy",3213,30,4,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q5563846",2879,9,4,0.460588785268635
"764","13781","1608","Italy",2289,4,3,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3561373",NA,NA,NA,0.124549057772868
"765","14219","1577","Italy",3178,19,5,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q1855446",NA,NA,NA,0.234999765741123
"766","14855","1608","Italy",19561,320,73,8747,97,73,"https://www.wikidata.org/wiki/Special:EntityPage/Q102490",28441,192,73,9.58975344503541
"767","15085","1553","Italy",5238,25,6,6740,10,6,"https://www.wikidata.org/wiki/Special:EntityPage/Q1094178",6872,19,6,1.22192852997986
"768","15307","1622","Italy",5694,91,30,3056,43,30,"https://www.wikidata.org/wiki/Special:EntityPage/Q318037",5538,52,30,3.46288319485145
"769","14313","1580","United Kingdom",4680,29,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q7344875",NA,NA,NA,0.187638550629183
"770","156","1584","France",3658,9,3,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3161164",10895,38,3,0.764495962680142
"771","5437","1520","Netherlands",1303,30,8,2112,16,8,"https://www.wikidata.org/wiki/Special:EntityPage/Q220421",1974,15,8,0.970650973794394
"772","635","1550","Iberia",4729,4,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q21043151",NA,NA,NA,0.181713702022354
"773","65","1550","Iberia",4514,3,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q21064737",NA,NA,NA,0.172695659214999
"774","895","1531","Germany",3330,24,6,10716,219,6,"https://www.wikidata.org/wiki/Special:EntityPage/Q68523",NA,NA,NA,1.79384208997953
"775","894","1495","Germany",9777,118,31,9088,116,31,"https://www.wikidata.org/wiki/Special:EntityPage/Q58662",9710,67,31,4.45032719588402
"776","2338","1479","France",9444,48,10,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q1066534",13002,42,10,1.4986878534336
"777","2622","1530","Germany",2547,10,4,3862,21,4,"https://www.wikidata.org/wiki/Special:EntityPage/Q109090",NA,NA,NA,0.497096782290408
"778","2903","1550","Italy",1329,4,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q18945694",NA,NA,NA,0.0620864202560522
"779","3062","1490","Iberia",3913,17,4,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q6301222",NA,NA,NA,0.229268093713536
"780","3586","1473","Germany",141871,2305,150,61341,901,150,"https://www.wikidata.org/wiki/Special:EntityPage/Q619",74584,834,151,32.7040211793453
"781","3947","1532","France",9594,24,10,7600,23,10,"https://www.wikidata.org/wiki/Special:EntityPage/Q116017",8196,20,10,1.83938261788262
"782","10498","1532","Italy",3929,14,4,7359,16,4,"https://www.wikidata.org/wiki/Special:EntityPage/Q1390868",5452,21,4,1.00409831403271
"783","5436","1508","Netherlands",8365,101,20,9577,51,20,"https://www.wikidata.org/wiki/Special:EntityPage/Q455406",8746,48,20,3.06391899625692
"784","6331","1550","Iberia",4860,6,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q21184587",NA,NA,NA,0.189229623740557
"785","11171","1480","Iberia",3722,4,6,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3187835",1991,13,6,0.540685161580826
"786","12570","1470","France",2548,22,4,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q1630155",1639,15,4,0.41109013447125
"787","9016","1487","Iberia",2390,13,5,1788,5,5,"https://www.wikidata.org/wiki/Special:EntityPage/Q1495249",1568,13,5,0.652421900188538
"788","7794","1531","Germany",2006,4,2,2864,18,2,"https://www.wikidata.org/wiki/Special:EntityPage/Q1894207",NA,NA,NA,0.312706669287956
"789","11032","1502","Iberia",16729,119,22,5507,37,22,"https://www.wikidata.org/wiki/Special:EntityPage/Q435718",12780,63,22,3.5500376064332
"790","11663","1490","Netherlands",5588,15,6,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2361366",NA,NA,NA,0.34266641464033
"791","12287","1512","United Kingdom",9091,129,28,2905,16,28,"https://www.wikidata.org/wiki/Special:EntityPage/Q318192",3367,30,28,3.18049226625922
"792","12345","1511","Germany",5408,67,23,5281,59,23,"https://www.wikidata.org/wiki/Special:EntityPage/Q544169",3345,36,23,2.84387062193307
"793","12757","1499","Germany",4255,24,10,4706,18,10,"https://www.wikidata.org/wiki/Special:EntityPage/Q27337",1318,19,10,1.31678621110201
