"","a","sigma","N_0","sigma_obs","z","d","b","c","e","f","sigma2","g","h","loglik","loglik.se.se"
"1",0.0844264438582249,1.2077082742248,0.0927435855894655,-0.372188958501245,0.750590774649257,0,0,0.305218664180332,0,0,-0.0215629911089684,0,0.552799754797987,-49.2784230179066,0.00448920070739047
"2",0.0908959580528814,1.20508501900782,0.0891955898008396,0.372583444685005,0.724505604703036,0,0,0.303961938601742,0,0,0.0316220093236859,0,0.550814815215873,-49.2489492009109,0.00474720581100569
"3",0.0847019998813393,1.2198247099729,0.110413476023269,-0.359388887010938,0.74604167635989,0,0,0.314775830256663,0,0,0.0899433751860002,0,0.56835953079628,-49.2742697053076,0.00456725665723341
"4",0.0880931343323981,-1.18440452566805,0.109639217244499,-0.376195981506726,0.721623053885032,0,0,0.313173339052051,0,0,-0.0822958270251343,0,0.553568712957365,-49.3384773984482,0.00499452204341821
"5",0.0820454127155786,1.28389294041397,0.108747961255171,0.369510076094243,0.664372902090308,0,0,0.317845995867096,0,0,0.100649400393397,0,0.564377174295886,-49.2982530267658,0.00502582257658012
"6",0.093069415854685,1.18107827482113,0.0626745703414983,-0.386915712739442,0.727767995989759,0,0,0.301554844064504,0,0,-0.0839096314759158,0,0.545865562831478,-49.5295020095501,0.00448871042260499
"7",0.0883491216617633,-1.25724059119278,0.102373419044005,0.378170955264806,0.65767331540962,0,0,0.310780323416129,0,0,-0.0938868193794789,0,0.553341329787938,-49.3226560258443,0.00511645539873158
"8",0.0839527595330189,-1.33205635067098,0.119335640489323,0.355608057459872,0.641147328633963,0,0,0.315149756637623,0,0,0.108469893235282,0,0.558166397048585,-49.3555404912321,0.00489657693776676
"9",0.0842358061976533,-1.27377960481038,0.106752826258458,-0.379994720242859,0.677867780115688,0,0,0.319766474092007,0,0,0.0922198113283915,0,0.565018001587374,-49.4696276836972,0.00427407010511668
"10",0.080136800305571,1.19584182934103,0.110021878357861,0.372655575784128,0.742377882280108,0,0,0.316237782057084,0,0,0.0797592113817129,0,0.562098016559406,-49.2599482081971,0.00498323444292153
"11",0.0891881996180146,-1.26895946543368,0.111380606168446,0.363801282076397,0.662282858460893,0,0,0.309971352717001,0,0,-0.077569891699212,0,0.549121439778267,-49.3206804769189,0.00522831629606069
"12",0.0891611578403226,1.36845763217188,0.132147559716678,-0.353982079095026,0.610426764611034,0,0,0.31218050582462,0,0,-0.111746538482454,0,0.558918842018665,-49.5975460981178,0.00489525303325494
"13",0.078881161063643,-1.23756566405038,0.116314953635456,0.360125175196948,0.74389576623068,0,0,0.313320670643228,0,0,-0.113457410775351,0,0.558203951568701,-49.2584557203414,0.00444778498186419
"14",0.0802586097958526,-1.13746682419696,0.100837235146105,-0.378539245803841,0.766516177184399,0,0,0.306243314331099,0,0,-0.0561693008964026,0,0.553768988563502,-49.477038133267,0.005945724080801
"15",0.0950759662922836,1.22245369802263,0.0865031986992134,0.382141641536277,0.698614306639042,0,0,0.303539963926798,0,0,-0.101225339466708,0,0.552933817631132,-49.3943183714958,0.00445254870234641
"16",0.0895708045816231,-1.20770681849432,0.113296548539444,-0.370531954457668,0.726322886610096,0,0,0.309594859298851,0,0,0.0987020037989429,0,0.557954081035137,-49.2267718760764,0.00467991819538231
"17",0.0759899394659106,1.28363652971139,0.122685114203555,0.357004420562714,0.730792757579634,0,0,0.317332112666099,0,0,0.0786458234196062,0,0.567181564501414,-49.3661322479186,0.00421256706110684
"18",0.0853865441654197,-1.25938282396527,0.0795756436001551,0.387526980037658,0.610534492384346,0,0,0.324671499011426,0,0,-0.1704729377712,0,0.560969366054621,-50.02523241826,0.00671773716980619
"19",0.0892063884537547,-1.21809635482634,0.11672138852427,-0.360288914447837,0.739544035653569,0,0,0.299002622141118,0,0,0.0853501235004775,0,0.547164270232365,-49.3855136382413,0.00462753364598165
"20",0.0858481526872185,1.1569664652483,0.065376305955827,-0.390460354818944,0.691440481369826,0,0,0.309910405797585,0,0,0.144787939758883,0,0.545311944978139,-49.7944795458326,0.00692940869889226
"21",0.0754549623226284,1.2467230952498,0.12090507333363,-0.368849099570308,0.705099889895116,0,0,0.318682770411002,0,0,-0.041676888834952,0,0.555649140248083,-49.4124805856954,0.00492794429996453
"22",0.0826993686167194,1.24897047422088,0.115907650336199,-0.370250188997176,0.726516737515677,0,0,0.320673659240296,0,0,0.0433617729258065,0,0.574366530329729,-49.4265691172596,0.00414212518704744
"23",0.0987872908923219,1.153429977509,0.0605307763315104,-0.385234317095264,0.694678425210521,0,0,0.296105427840148,0,0,-0.106102364704143,0,0.539174306652696,-49.6860397694896,0.00619246955954081
"24",0.0870889791953858,1.12451675664694,0.0995638059380767,-0.382360921615945,0.781242193190469,0,0,0.312360234327624,0,0,0.0724598549895261,0,0.566097285161994,-49.4341744003756,0.00510888309297804
"25",0.0857594713781922,-1.29355767277939,0.113920138288594,-0.355017611356285,0.656365419379407,0,0,0.312972431352799,0,0,0.0815842333176363,0,0.564370345482969,-49.3998838543178,0.00552497525728978
"26",0.0828136415305642,-1.1907311595903,0.122871752401333,-0.368721948270683,0.737555183543381,0,0,0.316170977829123,0,0,0.039039401003436,0,0.565136164997514,-49.2926619810041,0.00522693869483321
"27",0.0876759471228184,1.22571472564793,0.111634504452963,0.364420890415558,0.701280083724194,0,0,0.30849255821902,0,0,0.0752177376554523,0,0.551206322887319,-49.2010348213711,0.00516232217233667
"28",0.0887923115712844,-1.25954227130145,0.108228172044589,-0.369148680162826,0.682596892189754,0,0,0.313470764533505,0,0,-0.0924349189243078,0,0.56028426501642,-49.215298205267,0.00477987075471718
"29",0.0882573939877651,-1.13932657531783,0.100657911115395,-0.371516613531346,0.763690115145079,0,0,0.30744167142625,0,0,-0.0438034668198521,0,0.558126349461756,-49.2699536891794,0.0056897663826747
"30",0.0798121520126095,-1.22702272874189,0.0963150483787263,-0.3690973649425,0.712526669277135,0,0,0.309087519451341,0,0,0.0841678521705767,0,0.550938491669632,-49.3271433905493,0.00527423326130478
