"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"441","Spir, Afrikan",1837,"Russia","https://www.wikidata.org/wiki/Special:EntityPage/Q385790","",35908,317,9,13473,14,9,NA,NA,NA,1.33824879794936
"442","Stahl, Friedrich",1802,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q71322","",NA,NA,NA,121676,122,8,NA,NA,NA,2.21093646742959
"443","Stallo, Johann",1823,"United States of America","https://www.wikidata.org/wiki/Special:EntityPage/Q6258787","",NA,NA,NA,3608,27,2,NA,NA,NA,0.0872494718014205
"444","Stankevitch ,  Nikolai",1813,"Russia","https://www.wikidata.org/wiki/Special:EntityPage/Q983724","",NA,NA,NA,2291,17,12,NA,NA,NA,0.23540462363158
"445","Steffens ,  Henrik",1773,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q64406","",NA,NA,NA,20820,113,13,1387,78,13,1.00904079173934
"446","Steffensen, Karl",1816,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q15454451","",NA,NA,NA,9481,12,1,NA,NA,NA,0.14802695287708
"447","Stein ,  Heinrich",1833,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1599686","",NA,NA,NA,2828,28,1,NA,NA,NA,0.0576682246981015
"448","Steinheim, Salomon",1789,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q90817","",NA,NA,NA,3970,23,5,NA,NA,NA,0.142870869837908
"449","Steinthal, Heymann",1823,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q65644","",NA,NA,NA,5928,56,12,NA,NA,NA,0.336702034328719
"450","Stiedenroth, Ernst",1794,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1360294","",NA,NA,NA,1899,8,1,NA,NA,NA,0.0208822014062156
"451","Stirling, James",1820,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q2556195","",8264,42,10,5324,6,10,3354,4,10,0.800144583353051
"452","Schmidt ,  Max",1806,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q76725","",65029,1268,50,30284,310,50,30268,428,50,6.44884067889847
"453","St%C3%B6ger, Bernhard",1757,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q826022","",NA,NA,NA,8852,16,1,NA,NA,NA,0.142187800873548
"454","Strachow, Nikolai",1828,"Russia","https://www.wikidata.org/wiki/Special:EntityPage/Q2636293","",NA,NA,NA,4042,17,10,16936,8,10,0.648587835326761
"455","Strauß ,  David",1808,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q57219","",NA,NA,NA,16568,216,35,NA,NA,NA,1.09776315730715
