"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"2735","Lannoy, Eduard",1787,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q1597107"," composer ",NA,NA,NA,4458,16,3,NA,NA,NA,0.269965599347005
"2736"," Larionov ,  Ivan ",1830,"Russia","https://www.wikidata.org/wiki/Special:EntityPage/Q2353026"," conductor ",1240,34,15,1464,6,15,1525,10,15,1.61380749157746
"2737"," Lassen ,  Eduard ",1830,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q71383"," conductor ",NA,NA,NA,2681,18,9,6714,13,9,0.841921005487405
"2738","Laub, Ferdinand",1832," Czech Republic ","https://www.wikidata.org/wiki/Special:EntityPage/Q339676"," composer ",5167,32,10,4384,37,10,NA,NA,NA,1.04435107839373
"2739","Laur, Ferdinand",1791," Switzerland ","https://www.wikidata.org/wiki/Special:EntityPage/Q44717769"," conductor ",NA,NA,NA,10784,8,1,NA,NA,NA,0.405533184691011
"2740"," Le Carpentier ,  Adolphe ",1809,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q365701"," composer ",NA,NA,NA,1706,14,2,NA,NA,NA,0.143402942844751
"2741","Couppey, F%C3%A9lix",1811,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1479496"," pianist ",3158,6,6,1844,17,6,2750,13,6,0.85223504012518
"2742","Lebel, Louis",1831,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1871813"," composer ",NA,NA,NA,2575,17,1,NA,NA,NA,0.146573682242858
"2743","Leborne, Simon",1797,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1028877"," composer ",NA,NA,NA,1946,25,5,6263,12,6,0.598248612722344
"2744","Lebourgeois, Joseph",1802,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1372765"," composer ",NA,NA,NA,1430,8,1,NA,NA,NA,0.0927256284429747
"2745"," Lecocq ,  Charles ",1832,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q538894"," composer ",5541,177,17,3255,49,17,11718,159,17,2.83583292479434
"2746","Lef%C3%A9bure-W%C3%A9ly, Louis",1817,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q546919"," composer ",10334,67,14,5084,50,14,15731,75,14,2.47950200832824
