"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"198","Solari, Cristoforo",1468,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q2408409"," sculptor ",1475,94,9,NA,NA,NA,1341,11,9,0.923006255533077
"199"," Solari ,  Francesco ",1420,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q639749"," sculptor ",1027,8,8,NA,NA,NA,1387,16,8,0.669966281201046
"200","Solari, Guiniforte",1429,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1394214"," sculptor ",1584,23,9,NA,NA,NA,4038,24,9,0.911449195331039
"201","Torrigiano, Pietro",1472,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q948332"," sculptor ",8908,52,12,NA,NA,NA,2063,11,12,1.39249500447366
"202","Delemer, Jean",1410,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q16863377"," artist ",1197,63,2,NA,NA,NA,NA,NA,NA,0.19652378218447
"203","Gerhaert, Nikolaus",1420,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q33696"," sculptor ",2970,33,12,NA,NA,NA,6558,24,12,1.28462319620441
"204","Mone, Jean",1500,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q286182"," sculptor ",1505,14,3,NA,NA,NA,NA,NA,NA,0.139603047963694
"205","Sluter, Claus",1340,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q372367"," sculptor ",5156,54,23,NA,NA,NA,NA,NA,NA,1.06831798230352
"206","Steffeswert, Jan",1460,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q2089985"," sculptor ",3103,11,5,NA,NA,NA,NA,NA,NA,0.271502433610682
"207","Tricht, Aert",1570,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q2040079"," sculptor ",1992,13,3,NA,NA,NA,NA,NA,NA,0.158786250282816
"208","Colonia, Sim%C3%B3n",1450,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q2917253"," architect ",1986,15,7,NA,NA,NA,5914,19,7,0.812497292024314
"209","Huerta, Jean",1413,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q1885156"," sculptor ",2028,9,4,NA,NA,NA,15989,33,4,0.965331213838859
"210"," Gerhard ,  Hubert ",1550,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q316824"," sculptor ",3519,17,9,NA,NA,NA,2318,13,9,0.886883828877345
"211","Tetrode, Willem",1530,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q2086704"," sculptor ",7459,21,2,NA,NA,NA,NA,NA,NA,0.380991219754005
"212"," Bontemps ,  Pierre ",1505,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q615593"," sculptor ",1059,24,5,NA,NA,NA,3483,23,5,0.588155295923724
"213","Bullant, Jean",1515,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q967445"," architect ",2887,39,9,NA,NA,NA,6181,86,9,1.30524761502585
"214","Chantereine, Nicolas",1470,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q3119777"," architect ",8642,21,5,NA,NA,NA,6480,16,5,0.982916666867628
"215","Francavilla, Pietro",1548,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1367872"," sculptor ",10924,29,10,NA,NA,NA,10231,27,10,1.61236879857286
"216"," Goujon ,  Jean ",1511,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q551643"," architect ",7414,60,15,NA,NA,NA,18454,155,15,2.62209901291893
"217","Juni, Juan",1506,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q917532"," sculptor ",2090,43,10,NA,NA,NA,4816,43,10,1.14312983963534
