"","a","sigma","N_0","sigma_obs","z","d","b","c","e","f","sigma2","g","loglik","loglik.se.se"
"1",0,-0.789344369591844,0.0489739012238241,0.417224612468333,1.31292866828351,0,0.0658341604306917,0.036639041589977,0,0,-0.110574315153277,0,-66.5643683471767,0.0114453763411011
"2",0,-0.821582213900269,0.022636624032604,-0.428043522996115,1.27488289093599,0,0.0467289537226227,0.0419260744032119,0,0,-0.119623936931575,0,-66.885799426695,0.00832200578708739
"3",0,0.740476899274752,0.0238519729940615,0.428745397334251,1.3738500059705,0,0.0458767101422252,0.0189502521327097,0,0,-0.189162780551099,0,-68.3600752926247,0.0145272660417244
"4",0,0.86037739137589,0.0735321236974284,0.408826418645568,1.25148009398955,0,0.0542677895457894,0.0324889437479052,0,0,-0.0389484999346257,0,-68.3509805339925,0.015243109625596
"5",0,0.778978399905609,0.0236970535717758,0.424554071989474,1.42549667820061,0,0.0904306144280436,0.0316041687494275,0,0,-0.142579300040989,0,-67.3130529730477,0.00707770593502957
"6",0,-0.792672056070854,0.04682171847392,0.419438507510975,1.3013975413559,0,0.0546156170374971,0.0344826057611398,0,0,0.046666050717446,0,-66.4083328492906,0.0118218937772352
"7",0,-0.797781487040938,0.0457610995168332,-0.437320024832743,1.31399105165405,0,0.0645153796549041,0.0259661728666188,0,0,-0.121679561552091,0,-66.9730982691502,0.008583295951577
"8",0,-0.793199950324463,0.0163440079213681,0.424740653437412,1.2314538779017,0,0.0521929111368333,0.0517463964738847,0,0,0.0551806072130075,0,-66.7601925043094,0.0104596962019019
"9",0,-0.70548683625268,0.0540890638927458,0.455952708447949,1.28317413778623,0,0.046528593115917,0.0286234796214745,0,0,-0.176969078932348,0,-67.4885865739347,0.0103277985834385
"10",0,-0.787902848316217,0.0584504107535593,0.424538967662843,1.31880458900169,0,0.0292545721565743,0.024171240565644,0,0,-0.0509507345459322,0,-67.3341336038255,0.0127734511536596
"11",0,0.773888089910426,0.0473829772074823,-0.431540864363864,1.31382761088567,0,0.0812149372840067,0.0233752001394022,0,0,0.122493195001773,0,-66.5398996226116,0.0113954171473113
"12",0,-0.766251217640192,0.0375398696900188,-0.437658672066855,1.2826028578433,0,0.0784811130249678,0.0418627064152397,0,0,-0.0283506121421361,0,-66.4980586342936,0.00781165144711964
"13",0,-0.756350291687852,0.0488632869815766,0.433127334973367,1.34694518604365,0,0.0671857093319834,0.0205788572722472,0,0,0.00589110718991741,0,-66.4365267619529,0.0109138486993442
