"","a","sigma","N_0","sigma_obs","z","d","b","c","e","f","sigma2","g","loglik","loglik.se.se"
"1",0,0.808232599253003,0.0417907538822701,0.404470903122964,1.36456825060278,0,0,0.0242886153773326,0.028108864443343,0,-0.0627754970491083,0,-67.6710314960783,0.0143299343772306
"2",0,-0.793993227014005,0.0403877100576367,0.427778683749827,1.30125403664625,0,0,0.0353657476731249,0.0201370616104334,0,-0.163332736690719,0,-67.2649311899087,0.00993100907371338
"3",0,-0.765245841119496,0.0466730838982993,0.416057257349968,1.3374997617215,0,0,0.0168121942057133,0.00421381127164654,0,-0.102040880992295,0,-68.2793787263971,0.0209409283885892
"4",0,-0.819887671652444,-0.00180716410639901,0.422826490607827,1.24257442223279,0,0,0.0613402966525164,0.0358164608233851,0,0.193845692339989,0,-68.6825368882612,0.00828705992475372
"5",0,0.755427411231933,0.0365838357686999,0.420139087687589,1.37681766385608,0,0,0.0322165299785286,0.01667441479005,0,-0.0223252027378754,0,-67.3437638009941,0.0102094661832778
"6",0,-0.791310604195852,0.0593741924983451,0.411702813899123,1.27759327365395,0,0,0.0329203212948152,0.0285293372484978,0,0.0674303196262735,0,-67.4337624737966,0.0172192570555558
"7",0,-0.818529026611606,0.0380999073114582,-0.409091458960699,1.31055450002042,0,0,0.0279176929887544,0.014352779245587,0,0.0557069319172755,0,-67.5974487643755,0.0148919459519838
"8",0,-0.828389295078478,0.022728340584054,-0.404921919323861,1.29621779260485,0,0,0.0375988992714289,0.00190508661374912,0,-0.131570769964096,0,-68.4157416205401,0.0144217882595279
"9",0,0.816138947614489,0.0283634899781638,-0.429668966539175,1.26800255555448,0,0,0.0420340247444079,0.0115095453157184,0,0.00314247049909537,0,-67.494294605516,0.0087643559894583
"10",0,-0.860319368812904,0.0410180689742941,-0.421516107499373,1.25329536414103,0,0,0.0310573965054639,0.0541447674887982,0,-0.146356182314935,0,-68.9490585689276,0.0105374971595087
"11",0,0.753695480278449,0.0487628634979788,0.44259154563317,1.28209826415502,0,0,0.0367800884781544,0.0211057968354153,0,0.0523106330274443,0,-67.4151257306463,0.00885697473293307
"12",0,-0.824646838128855,0.0763872073319975,-0.408860706545691,1.15693270981206,0,0,0.0297168162981745,0.0350409720638697,0,-0.0707110398608988,0,-68.3459900971631,0.0338982999584848
"13",0,0.729530917010632,0.0529428539161106,-0.435206332704138,1.3732209415438,0,0,0.0205279890065191,0.0264011401028734,0,-0.0656819615969002,0,-67.7153784361535,0.0104704014697955
"14",0,-0.792969787049799,0.0298668949091066,-0.440073278695069,1.1825754304786,0,0,0.0574151753367507,0.0269498402268088,0,-0.0879341685335055,0,-67.8138242354922,0.00908491943462692
"15",0,0.83098534302275,0.0341961587597466,-0.429912500568952,1.1744008062992,0,0,0.0587748979021934,0.0227176344553676,0,-0.140164793323545,0,-67.8436515273559,0.00936394626280251
"16",0,-0.816523073194697,0.0387158737865828,0.437195687861473,1.16271207117669,0,0,0.0469483301290863,0.0299753904174093,0,-0.119483807440549,0,-67.4797058860011,0.0109563635673721
"17",0,0.749186116019329,0.0273393246985858,0.435607679100118,1.36466382511748,0,0,0.0284228343993683,0.00112583556076162,0,0.106773208581926,0,-67.8082769660808,0.00876002671556417
"18",0,0.80275760679476,0.0424422055467689,-0.408284979763814,1.276745881279,0,0,0.026046461691696,0.0271535315077921,0,-0.0154042166140442,0,-67.248845690976,0.020777148078645
"19",0,-0.868117591397472,0.0501424748100961,0.425124977950093,1.21912227682304,0,0,0.0230991329944278,0.0420805618555491,0,0.0805059095538069,0,-68.6097108674991,0.013108404583453
"20",0,0.782144237056287,0.0346033933613176,0.43151372708739,1.38460102552441,0,0,0.0326335013607573,-0.000778160240916101,0,0.172055353174636,0,-68.2362774851319,0.00784045749717124
"21",0,-0.773189929097672,0.0279046553630595,-0.420754151144842,1.43178719791794,0,0,0.0309964211744817,0.0150739815968103,0,-0.140123296120183,0,-67.8652642101119,0.00786628527202988
"22",0,-0.751366154362193,0.0542762743038349,0.435566594666432,1.2989114358071,0,0,0.0322933860238247,0.0249945819412728,0,0.124285856655921,0,-67.3934408373946,0.0105501822908025
"23",0,0.823014138184327,0.0234567467171171,-0.426345345971576,1.30524484524477,0,0,0.0284206776098912,0.0269722099533251,0,0.0784765550562604,0,-67.7822991320193,0.00937970874457847
"24",0,-0.760830903740162,0.0410221737138646,0.420117527323547,1.40963339320206,0,0,0.0235002070831127,0.0322026601445262,0,0.103807380595257,0,-67.9760924587435,0.0104249547533439
"25",0,-0.936249310665722,0.0629072141312687,-0.391692756058964,1.08607116967527,0,0,0.0456517588830548,0.044829441663161,0,-0.127647088305793,0,-69.3814955820691,0.024548912213718
"26",0,-0.765221899475556,0.0373457893811463,-0.428704812609111,1.2444893387605,0,0,0.0533579559063201,0.0134800887260293,0,0.131149183555692,0,-67.8194316844824,0.010795799362352
"27",0,0.773030602506952,0.0404780912661116,0.441364811899336,1.31902342159412,0,0,0.0242056258452658,0.0252871491611814,0,0.09163681466187,0,-67.4577816032223,0.00890727994051839
"28",0,-0.783014488931398,0.0133786083700923,-0.420837076242967,1.34012573807132,0,0,0.0477850157312571,0.0248316630531622,0,0.195229319845503,0,-67.9510532625952,0.00865413914566626
"29",0,0.7614812905129,0.0334765616566963,-0.421936976588577,1.37763473105852,0,0,0.0225496984187728,0.01880053269331,0,0.130973504254568,0,-67.4326994395132,0.0121032065564843
